Poulet coco réunionnais,"Ingrédients : poulet coupé en morceaux,lait de coco,coulis de tomate,oignon,poivron rouge,huile d'olive,poivre,sel,poulet coupé en morceaux,lait de coco,coulis de tomate,oignon,poivron rouge,huile...",1h20,false
Avocado toast et Churros de pommes de terre,"Ingrédients : Churros de pommes de terre nature Findus,pain aux céréales,avocat,ail,feta,noisette concassées,huile d'olive,sel,poivre.Éplucher et hacher finement la gousse d’ail....",21 min,false
Poivrons confits,"Ingrédients : poivron vert,poivron jaune,poivron rouge,oignon émincé,ail pelées et pressées,feuille de laurier,huile d'olive,poivre,sel.Passé ce temps, y ajouter le reste des ingrédients et laisser confire...",55 min,false
Madeleines au citron,"Ingrédients : oeuf,sucre,farine,citron,levure (1 cuillère à café),beurre salé.Remplissez les moules au 3/4, et enfournez à 220°C (th 7-8) pendant 4 min. Démoulez tiède.Ajoutez la farine et la levure....",27 min,false
Marrons glacés faciles,"Ingrédients : marrons,sucre,eau,vanille.Le sirop restant pourra aromatiser des yaourts ou du fromage blanc. Dans une cocotte-minute de préférence, mettez l'eau et le sucre. Mettez sur feu moyen, lorsque le sucre est...",1h40,false
